Concelho,Neighboring_Concelhos
Évora,"['Arraiolos', 'Estremoz', 'Montemor-o-Novo', 'Portel', 'Redondo', 'Reguengos de Monsaraz', 'Viana do Alentejo']"
Alandroal,"['Mourão', 'Redondo', 'Reguengos de Monsaraz', 'Vila Viçosa', 'Elvas']"
Arraiolos,"['Évora', 'Estremoz', 'Montemor-o-Novo', 'Mora', 'Sousel', 'Coruche']"
Borba,"['Estremoz', 'Redondo', 'Vila Viçosa', 'Elvas', 'Monforte']"
Estremoz,"['Évora', 'Arraiolos', 'Borba', 'Redondo', 'Fronteira', 'Monforte', 'Sousel']"
Montemor-o-Novo,"['Évora', 'Arraiolos', 'Vendas Novas', 'Viana do Alentejo', 'Coruche', 'Alcácer do Sal', 'Montijo']"
Mora,"['Arraiolos', 'Avis', 'Ponte de Sor', 'Sousel', 'Coruche']"
Mourão,"['Alandroal', 'Reguengos de Monsaraz', 'Barrancos', 'Moura']"
Portel,"['Évora', 'Reguengos de Monsaraz', 'Viana do Alentejo', 'Cuba', 'Moura', 'Vidigueira']"
Redondo,"['Évora', 'Alandroal', 'Borba', 'Estremoz', 'Reguengos de Monsaraz', 'Vila Viçosa']"
Reguengos de Monsaraz,"['Évora', 'Alandroal', 'Mourão', 'Portel', 'Redondo', 'Moura']"
Vendas Novas,"['Montemor-o-Novo', 'Alcácer do Sal', 'Montijo', 'Palmela']"
Viana do Alentejo,"['Évora', 'Montemor-o-Novo', 'Portel', 'Alvito', 'Cuba', 'Alcácer do Sal']"
Vila Viçosa,"['Alandroal', 'Borba', 'Redondo', 'Elvas']"
Águeda,"['Albergaria-a-Velha', 'Anadia', 'Aveiro', 'Oliveira do Bairro', 'Sever do Vouga', 'Mortágua', 'Oliveira de Frades', 'Tondela', 'Vouzela']"
Ílhavo,"['Aveiro', 'Vagos']"
Albergaria-a-Velha,"['Águeda', 'Aveiro', 'Estarreja', 'Oliveira de Azeméis', 'Sever do Vouga']"
Anadia,"['Águeda', 'Mealhada', 'Oliveira do Bairro', 'Cantanhede', 'Mortágua']"
Arouca,"['Castelo de Paiva', 'Oliveira de Azeméis', 'Santa Maria da Feira', 'Vale de Cambra', 'Gondomar', 'Castro Daire', 'Cinfães', 'São Pedro do Sul']"
Aveiro,"['Águeda', 'Ílhavo', 'Albergaria-a-Velha', 'Murtosa', 'Oliveira do Bairro', 'Vagos']"
Castelo de Paiva,"['Arouca', 'Gondomar', 'Marco de Canaveses', 'Penafiel', 'Cinfães']"
Espinho,"['Ovar', 'Santa Maria da Feira', 'Vila Nova de Gaia']"
Estarreja,"['Albergaria-a-Velha', 'Murtosa', 'Oliveira de Azeméis', 'Ovar']"
Mealhada,"['Anadia', 'Cantanhede', 'Coimbra', 'Penacova', 'Mortágua']"
Murtosa,"['Aveiro', 'Estarreja', 'Ovar']"
Oliveira de Azeméis,"['Albergaria-a-Velha', 'Arouca', 'Estarreja', 'Ovar', 'São João da Madeira', 'Santa Maria da Feira', 'Sever do Vouga', 'Vale de Cambra']"
Oliveira do Bairro,"['Águeda', 'Anadia', 'Aveiro', 'Vagos', 'Cantanhede']"
Ovar,"['Espinho', 'Estarreja', 'Murtosa', 'Oliveira de Azeméis', 'Santa Maria da Feira']"
São João da Madeira,"['Oliveira de Azeméis', 'Santa Maria da Feira']"
Santa Maria da Feira,"['Arouca', 'Espinho', 'Oliveira de Azeméis', 'Ovar', 'São João da Madeira', 'Gondomar', 'Vila Nova de Gaia']"
Sever do Vouga,"['Águeda', 'Albergaria-a-Velha', 'Oliveira de Azeméis', 'Vale de Cambra', 'Oliveira de Frades']"
Vagos,"['Ílhavo', 'Aveiro', 'Oliveira do Bairro', 'Cantanhede', 'Mira']"
Vale de Cambra,"['Arouca', 'Oliveira de Azeméis', 'Sever do Vouga', 'Oliveira de Frades', 'São Pedro do Sul']"
Aljustrel,"['Beja', 'Castro Verde', 'Ferreira do Alentejo', 'Ourique', 'Santiago do Cacém']"
Almodôvar,"['Castro Verde', 'Mértola', 'Ourique', 'Alcoutim', 'Loulé', 'Silves']"
Alvito,"['Viana do Alentejo', 'Cuba', 'Ferreira do Alentejo', 'Alcácer do Sal']"
Barrancos,"['Mourão', 'Moura']"
Beja,"['Aljustrel', 'Castro Verde', 'Cuba', 'Ferreira do Alentejo', 'Mértola', 'Serpa', 'Vidigueira']"
Castro Verde,"['Aljustrel', 'Almodôvar', 'Beja', 'Mértola', 'Ourique']"
Cuba,"['Portel', 'Viana do Alentejo', 'Alvito', 'Beja', 'Ferreira do Alentejo', 'Vidigueira']"
Ferreira do Alentejo,"['Aljustrel', 'Alvito', 'Beja', 'Cuba', 'Alcácer do Sal', 'Grândola', 'Santiago do Cacém']"
Mértola,"['Almodôvar', 'Beja', 'Castro Verde', 'Serpa', 'Alcoutim']"
Moura,"['Mourão', 'Portel', 'Reguengos de Monsaraz', 'Barrancos', 'Serpa', 'Vidigueira']"
Odemira,"['Ourique', 'Aljezur', 'Monchique', 'Silves', 'Santiago do Cacém', 'Sines']"
Ourique,"['Aljustrel', 'Almodôvar', 'Castro Verde', 'Odemira', 'Silves', 'Santiago do Cacém']"
Serpa,"['Beja', 'Mértola', 'Moura', 'Vidigueira']"
Vidigueira,"['Portel', 'Beja', 'Cuba', 'Moura', 'Serpa']"
Amares,"['Braga', 'Póvoa de Lanhoso', 'Terras de Bouro', 'Vieira do Minho', 'Vila Verde']"
Barcelos,"['Braga', 'Esposende', 'Vila Nova de Famalicão', 'Vila Verde', 'Póvoa de Varzim', 'Ponte de Lima', 'Viana do Castelo']"
Braga,"['Amares', 'Barcelos', 'Guimarães', 'Póvoa de Lanhoso', 'Vila Nova de Famalicão', 'Vila Verde']"
